zw,Please select your battalion,What is your time in service?,"Have you completed a mobilization or deployment? (SAD, Title 10, Title 32, etc.)",If you are deploying in the next twelve months do you have any questions or concerns regarding an upcoming deployment?,Have you used any form of educational assistance?,"If ""yes"" what educational benefits have you utilized and have you had any issues utilizing them?",Are you aware of the 211 resource?,Have you had any pay issues to include bonuses not being paid in a timely manner?,Do you feel like your leadership is competent and interested in your development as a soldier and civilian?,Would you be interested in extending or re-enlisting?,Would you be interested in re-enlisting or extending if you were at a different unit?,Would you be interested in re-enlisting or extending if you could acquire a new MOS?,Do you feel valued at your unit?,What made you join the Army National Guard?,What has changed over the course of your enlistment that may have negatively impacted your desire to stay in? ,"In as much detail as you would like, please explain why you are, or are not interested in extending or re-enlisting.",What changes would you make to improve the morale of soldiers within your company or battlion?,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Have you attended any military schools other than your initial entry training?,"If ""No"" please elaborate on what would make you feel like a more valued asset to the team."
2/23/2025 12:36:49,P1XAA (276th EN),Greater than 6 years but less than 12,Yes,None,Yes,Montgomery gi bill,Yes,No,Yes,Yes,I am happy at my current unit,No,Yes,Recruiter,No,Im ready enlisting,None,,,,,,,Yes,
2/23/2025 12:37:20,P1XAA (276th EN),Less than 3 years,No,,Yes,Tuition Assistance ,No,No,Yes,Undecided,I am happy at my current unit,I am happy in my current MOS,Yes,School and wanting to become an officer ,none,n/a,more interactive team bonding activities ,,,,,,,No,
2/23/2025 12:37:43,P1XAA (276th EN),Less than 3 years,No,,No,,Yes,No,Yes,Undecided,I am happy at my current unit,Yes,Yes,School,Nothing,Going active,I have none,,,,,,,No,
2/23/2025 12:37:54,P1XAA (276th EN),Greater than 6 years but less than 12,No,No,No,,No,No,No,Undecided,Yes,Yes,Yes,Life change ,Nothing ,More money ,Balance between work and play ,,,,,,,No,
2/23/2025 12:38:31,P1XAA (276th EN),Greater than 6 years but less than 12,Yes,,No,,No,No,Yes,Undecided,I am happy at my current unit,I am happy in my current MOS,Yes,"Reenlisted out of the army, reserve component into the National Guard for better opportunities",None,N/A,Be a good NCO. ,,,,,,,Yes,
2/23/2025 12:39:36,P1XAA (276th EN),Greater than 3 years but less than 6,Yes,Yes,Yes,SLRP,No,No,Yes,Undecided,I am happy at my current unit,I am happy in my current MOS,Yes,Benefits and service to others,None,Considering,None,,,,,,,Yes,
2/23/2025 12:41:04,P1XAA (276th EN),Greater than 12 years,Yes,I do not want to deploy ,Yes,TA,No,Yes,No,No,No,No,No,Got out of active duty,Everything mentally ,I am physically broken and tired ,None,,,,,,,Yes,Do not want to answer 
2/23/2025 12:44:38,P1XAA (276th EN),Greater than 12 years,Yes,No,No,N/a,Yes,No,Yes,Yes,I am happy at my current unit,I am happy in my current MOS,Yes,To serve my county,Politics,I love my job,N/a,,,,,,,Yes,
2/23/2025 12:48:51,P1XAA (276th EN),Greater than 12 years,No,Financial ,Yes,Recently using the federal TA,No,Yes,Yes,Yes,Yes,I am happy in my current MOS,Yes,Service and health insurance ,Na ,Na,Air Force chow lol,,,,,,,No,
2/23/2025 12:51:22,P1XAA (276th EN),Greater than 6 years but less than 12,No,No,No,,Yes,No,Yes,Undecided,I am happy at my current unit,I am happy in my current MOS,Yes,Family,I am still motivated to stay in the guard ,I want to reenlist at my contract end,Wish everyone had more motivation ,,,,,,,Yes,
2/23/2025 12:58:14,P1XAA (276th EN),Greater than 6 years but less than 12,No,No,No,,Yes,No,Yes,Yes,I am happy at my current unit,I am happy in my current MOS,Yes,Give back to my county ,NA,I’m a T32 ,Less worthless training and more unit cohesion and team building exercises. ,,,,,,,Yes,
2/23/2025 13:02:46,P1XAA (276th EN),Less than 3 years,No,No,Yes,Tuition Assistance ,No,No,Yes,Undecided,I am happy at my current unit,I am happy in my current MOS,Yes,School ,Time away from my child ,I would like to focus on my career,Nothing ,,,,,,,No,
2/23/2025 13:14:19,P1XAA (276th EN),Greater than 12 years,Yes,,No,,No,Yes,Yes,Undecided,Yes,Yes,Yes,Tricare,Lack of communication,"I am interested in extending and staying, but I would like to pursue different career opportunities outside my MOS",Treat people as adults and hold other accountable,,,,,,,Yes,
2/23/2025 13:16:49,P1XAA (276th EN),Greater than 3 years but less than 6,Yes,More firm information on mission and timeframes. ,Yes,"GI Bill, no issues",No,No,Yes,Yes,I am happy at my current unit,I am happy in my current MOS,Yes,Help with school. ,National Guard has been an obstacle at times. I missed some school for SAD duty and getting activated. ,I like the people in my unit. ,"More focus on soldier care. Hot chow and better planning for drills, ie barracks closer to chow hall etc",,,,,,,Yes,
2/23/2025 13:22:32,P1XAA (276th EN),Greater than 6 years but less than 12,No,,No,,No,No,Yes,No,No,No,Yes,End of my active career,Married and time,To have more free time with my life ,Less briefings ,,,,,,,No,
2/23/2025 13:22:57,P1XAA (276th EN),Greater than 6 years but less than 12,No,No,Yes,Post 911 GI Bill,No,No,Yes,No,No,No,Yes,Benefits/ education ,Life style ,Want to finish school and start my career,180th is awesome ,,,,,,,No,
2/23/2025 13:33:26,P1XAA (276th EN),Greater than 3 years but less than 6,Yes,NA,Yes,Ch 1606,No,No,Yes,No,No,No,Yes,College Benefits ,Poor leadership ,Just did it for school,NA,,,,,,,No,
2/23/2025 13:34:36,P1XAA (276th EN),Greater than 12 years,Yes,,No,,No,No,Yes,Yes,I am happy at my current unit,Yes,Yes,College opportunities ,None,Want to reach my 20 years in the military ,Better the communication between soldiers ,,,,,,,No,
2/23/2025 13:43:18,P1XAA (276th EN),Less than 3 years,No,No,No,,No,No,Yes,Yes,I am happy at my current unit,Yes,Yes,I love my country ,Non,Cause I love it ,Better communication ,,,,,,,No,
2/23/2025 13:53:12,P1XAA (276th EN),Greater than 3 years but less than 6,No,,Yes,VA state,No,Yes,Yes,No,No,No,Yes,Money,Not what I want to do,Not what I want to do,N/a,,,,,,,Yes,
2/23/2025 13:54:08,P1XAA (276th EN),Less than 3 years,No,No,No,N\A,No,Yes,Yes,Undecided,I am happy at my current unit,I am happy in my current MOS,Yes,Family,None,I’ll worry about that when it comes time. I would like to include some military schools in my next contract.,None,,,,,,,No,
2/23/2025 14:04:48,PE1AA (229th Engineer),Greater than 3 years but less than 6,No,No,No,,No,No,Yes,Yes,I am happy at my current unit,Yes,Yes,Was bored over summer and family military history ,Lack of communication within unit,Deployment,Better communication ,,,,,,,Yes,
2/26/2025 13:42:19,777AA (R&R),Greater than 12 years,No,Na,Yes,"Gi bill, state TA and federal TA",No,Yes,Yes,Yes,I am happy at my current unit,I am happy in my current MOS,Yes,School,"People, time and the environment ",I’ve been in to long to leave ,Follow through with promises made and take care of soldiers.,,,,,,,Yes,
2/26/2025 13:43:01,777AA (R&R),Greater than 12 years,Yes,,Yes,State tuition ,Yes,No,Yes,Yes,I am happy at my current unit,I am happy in my current MOS,Yes,Education ,Leadership ,No bonus,Everyone get the same treatment no favorite ,,,,,,,Yes,
2/27/2025 11:26:35,P1XAA (276th EN),Greater than 6 years but less than 12,Yes,"Lack of deployment opportunities, even for volunteers. ",Yes,"State tuition assistance (no issues)
Federal tuition assistance (no issues under GoArmyED, but Army IgnitED is an absolute nightmare). IgnitED required dozens of hours to submit a request only to have the request denied, resubmitted, denied, then approved but an incorrect amount paid out. Thankfully I was in a financial situation where I could pay the school upfront and wait for reimbursement but I recognize that the vast majority of soldiers are not in that position. The Army uses TA as a recruiting and retention tool, but routinely fails to deliver on it. ",No,Yes,No,No,No,No,No,"The opportunity to serve the country, pay for school, and deploy.","The absolute nightmare of using army systems to request tuition assistance and bonuses, and the reticence of the VaARNG to allow its members to deploy, especially with units outside the state through MOBCOP.","1) Poor leadership especially at the O4/O5 level. While this has an immediate detrimental affect on organizational effectiveness, it has a long term affect when junior Soldiers, officer and enlisted, see poor behavior and poor leadership being rewarded. This creates a vicious cycle. 

2) Blatant cover ups of disciplinary problems. In my time i have witnessed AGR staff blatantly cover up multiple instances of fraternization, with two suicides related to the cases receive and deliberately ignore a sexual harassment and borderline sexual assault report, mishandle another sexual harassment and sexual assault report, a ln MDay commander and an AGR blatantly mishandle an EO report and investigation, and attempting to minimize the suicide of an AGR soldier. 

3) Blatant race-based favoritism particularly relating to membership in a race-based college fraternity. 

4) Favoritism in selection for field grade opportunities like CGSOC. 

5) Routine failures to understand training management and resourcing resulting in wasted time and money/resources for no benefit to the unit or Soldiers. The 276th would routinely execute training events out of cycle, improperly resourced, or simply because they would result in a ‘cool’ Facebook post rather than it being nested in the unit’s ReARMM cycle or resourcing prior to execution.","Educate leaders on how to lead and manage their units and then actually hold them accountable when they fail. Every single issue that I have mentioned here has been discussed on multiple climate surveys by myself and other soldiers and in face to face discussions with multiple O6s, yet the so called leaders remain in the Guard and continue to be promoted and assigned to positions of higher authority. If you know you have cancer and refuse to treat it, you can’t be surprised when you die of cancer. It’s that simple. The VaARNG is well down that path.",,,,,,,Yes,"Leadership that leads and is competent in the branch and rank to which they are assigned. As a company commander, I routinely had to correct my battalion commander, XO, and S3, one of whom was an AGR, on simple administrative and tactical functions which I would expect a platoon leader or company XO to understand. They routinely failed to understand or implement training management principles, again something a platoon leader or company XO should understand, resulting in subordinate leader frustration and attempts to execute training events not aligned with the unit lifecycle or properly resourced. 

Multiple members of the AGR staff over the years routinely degraded MDay Soldiers or subordinate AGR/ADOS Soldiers simply because they could. Even worse, in many cases the AGR Soldier was factually incorrect. Both AGR Soldiers have since been promoted and know hold positions of higher authority as a battalion commander and battalion OIC respectively. "
2/28/2025 17:32:45,PE1AA (229th Engineer),Greater than 6 years but less than 12,Yes,,Yes,,No,Yes,No,Undecided,Yes,I am happy in my current MOS,No,Service as well as betterment of my life,"Pay issues, and issues regarding available resources/incentives",The biggest reason I'm considering not extending are the pay issues regarding travel reimbursement for most school,Impactful guidance throughout service life,,,,,,,Yes,
3/1/2025 10:16:24,97PAA (91st Cyber),Greater than 12 years,Yes,,Yes,Tuition Assitance,No,Yes,No,Yes,Yes,Yes,No, 20K bonus. Win ,"My interaction with Senior NCO’s when it came to a desire to assist soldiers on pay issues or assisting in mentorship, schools request, or handling mismanaged of funding. ",I want to reenlist. I signed reenlistment paperwork on January 30th. It is March 1st. My reenlistment has not been processed. ,"NCOs should engage with their soldiers at all levels. Senior NCOs should conduct basic battlefield circulations across the brigade. Since we are all in one building, it’s very easy to walk around talk with soldiers, ask them about their day, are their any issues leadership should be aware of. I have never seen a CSM or 1SG eat with the soldiers. More often than not, they eat different food and usually in a different location outside of the armory away from soldiers. Many senior NCOs hide away in their offices with the doors shut. More often than not, it is easier to engage with an O5 or an O6 than with an E8 or E9.",,,,,,,Yes,"Soldier care, the current command team does not care about getting soldiers PME or MOSQ"
4/10/2025 17:07:55,PE1AA (229th Engineer),Greater than 3 years but less than 6,Yes,No,Yes,State tuition assistance ,No,No,Yes,No,No,Yes,Yes,College benefits and a feeling of patriotism,I don’t like the environment created by some of the NCOs who demean their soldiers.,I would like to continue my civilian career and further my education and the Army would make that difficult as I’d like to relocate to a different area.,Practice EO and respect of soldiers.,,,,,,,Yes,
4/10/2025 17:18:46,PE1AA (229th Engineer),Less than 3 years,No,No,No,,No,No,Yes,Undecided,I am happy at my current unit,I am happy in my current MOS,Yes,"Always my dream
",Not much,Undecided,Unsure,,,,,,,No,
4/12/2025 9:21:49,X6SF3 (529th BN),Greater than 3 years but less than 6,Yes,N/A,Yes,"Gi bill, state tuition assistance ",No,Yes,Yes,No,I am happy at my current unit,Yes,Yes,Pay for school ,Negative leadership ,I have gained all the resources that i seeked when initially joining the military. I feel as though my time has come to an end and it is now a burden ,Fireside chats with junior enlisted and taking their griefs abd making reasonable changes,,,,,,,No,
4/12/2025 12:09:34,X3YF3 (1030th BN),Greater than 3 years but less than 6,Yes,,Yes,"Virginia state tuition assistance 
Federal tuition assistance 
The change of when the tuition assistance pays after the semester. And student has to pay out of pocket. I am using tuition assistance because I cannot afford school not to get it after. ",No,Yes,No,Yes,Yes,No,No,Wanted to be in the military from young. Likes the physical challenge  ,"Leadership doesn’t care about lower enlisted. Full time staff does their work half way. Unit doesn’t give proper awards to people who deserve or doesn’t see what everyone contributes. Lower enlisted do all the busy work while SOME officers sit around, not all. Higher enlisted think that rank excludes them from being active and helping around. Instead they sit and do nothing as well. Or too proud to do enlisted work. 
Drill is a waste of time and we still leave at 5-6pm. If we actually did something then there would be less complaints. A lot of time gets wasted when things could be done much quicker. BIG ONE-PEOPLE GETTING PROMOTED THAT SHOULDNT BE GETTING PROMOTED. Some e-4 promoting to e-5 physically and mentally cannot lead with or without experience or knowledge. Everyone knows but they still get promoted.",Leadership mostly not doing their work properly. Wasted time. ,Follow schedule for the day. Incorporating team building. Leadership actually doing their job the whole and right way. We are all one team. Not affecting others soldiers when one soldiers is the problem. Proper leadership in leadership position. ,,,,,,,Yes,Spend drill time more wisely 
4/12/2025 13:45:16,X6SF3 (529th BN),Greater than 6 years but less than 12,No,No,No,,No,No,No,No,Yes,Yes,No,I was straight out of high school & needed a way out of my previous living situation ,"My leadership changed multiple times, communication is a major issue, I feel like I come to drill and waste my time because not much gets done of importance. ",I am not re-enlisting because my wife experience in the military has not been pleasant. I was ready to be done back in basic training so to come to my unit & still hate the military says a lot. There’s no morale whatsoever so overall 117rd has made me not want to consider another unit or stay in the national guard at all,"Better soldier care, leave earlier than 5:30 if we’re just sitting around in our cars, more unit bonding/family days. Everyone in 117rd sticks to their friend groups/rank groups so there’s people who have worked together for 6 years who have never even spoken to each other. Better communication, more thoroughly planned drill weekends. ",,,,,,,No,"Most leadership I’ve come across only cared about themselves. I once had my squad leader tell me. “Do what you want, I’ll still get a paycheck either way.” "
4/13/2025 10:53:28,X6SF3 (529th BN),Greater than 3 years but less than 6,Yes,,Yes,Tuition assistance ,Yes,No,Yes,No,No,No,Yes,"School, VA home loan. ",Change is inevitable but the efficiency of the unit should be consistent. ,"I joined for school, I tried it out but it didn’t workout for me. Now that I have found the career path that I am truly interested in, I can pursue it without being tied to a unit every month and two weeks out of the year. The thing that bothers me the most is sitting around and waiting for nothing to happen. ",Have retention work sooner than later. This conversation would’ve been great half way through my contract ! I may have considered it. Nothing will change my decision at this point. ,,,,,,,No,
4/13/2025 15:26:03,X6SF3 (529th BN),Greater than 3 years but less than 6,Yes,No,No,,No,No,Yes,Undecided,I am happy at my current unit,I am happy in my current MOS,Yes,To remove myself from the negative environment I grew up in,Personal regrets ,"I am open to re-enlisting, because I want to make up for lost time and utilize my benefits. ","I would give soldiers the opportunity to connect more with the right people, to help them make decisions for future dreams and goals that they would like to accomplish. ",,,,,,,No,
5/1/2025 16:16:32,X58AA (183rd CAV),Greater than 3 years but less than 6,Yes,,Yes,Kicker ,Yes,No,Yes,Yes,I am happy at my current unit,I am happy in my current MOS,Yes,Stepping stone,Na,I built something with the guard family.,N/a,,,,,,,No,
5/1/2025 18:21:10,X58AA (183rd CAV),Greater than 3 years but less than 6,No,no,Yes,TA,No,No,Yes,Yes,I am happy at my current unit,Yes,Yes,Benefits ,Lack of communication ,na,Be more on top of soldier care,,,,,,,No,
5/1/2025 18:23:29,X58AA (183rd CAV),Greater than 3 years but less than 6,Yes,No,Yes,TA,No,No,Yes,Undecided,Yes,Yes,No,Better life opportunities ,Not being able to attend army schools unless last minute notice ,I have friends in other units who seem to always be able to go to schools and I have been waiting 5 years for an air assault slot so I eventually stoped caring.,Better opportunities to advanced there role in the unit other than just showing up and doing the same thing every month ,,,,,,,Yes,School opportunities 
5/3/2025 9:37:59,UAXAA (224th Aviation),Greater than 3 years but less than 6,Yes,,Yes,Montgomery GI Bill,No,No,No,No,No,No,Yes,Help with college,Felt belittled ever since I joined my real unit and it hasn't changed since then.,"I am choosing not to reenlist due to the circumstances above but also I don't see any relavance continuing down this path. This is due to my chosen path of going into the medical field, and the Army doesn't offer what I seek that appeals to me. I also don't want to put my life on hold for a deployment while or before nursing school.",Nothing that would benefit all.,,,,,,,Yes,
5/7/2025 15:23:34,X58AA (183rd CAV),Greater than 3 years but less than 6,Yes,Where and when,Yes,"Chapter 1606, federal TA",Yes,No,Yes,Undecided,Yes,Yes,Yes,Vibes,Lack of care by leadership/change of opinion on military,"Don’t think I care for military values as much as I used to, I enjoy the people and the skills it takes to get a mission done",Basically impossible when you have a clown secdec,,,,,,,Yes,Be able to be of use to unit mission
5/7/2025 15:41:36,X58AA (183rd CAV),Greater than 6 years but less than 12,Yes,No,Yes,GI Bill and No,Yes,No,Yes,Yes,I am happy at my current unit,I am happy in my current MOS,Yes,Service and Benefits ,Nothing,I like what I do so I'm Reenlisting and to get my full retirement ,"More active and ""hard"" training",,,,,,,Yes,
5/7/2025 15:43:40,X58AA (183rd CAV),Less than 3 years,No,,No,,Yes,Yes,No,No,Yes,Yes,Yes,I was told I would be promoted to E5 and I wanted the bonus ,My enlistment in the Virgina NG has been short,I would not stay here if I had the choice because I have to drive to Virgina beach just to load onto a bus for a 3 hour bus ride. That’s absolutely ridiculous. ,Yall don’t even consider this anyways ,,,,,,,Yes,
5/7/2025 15:48:10,X58AA (183rd CAV),Greater than 3 years but less than 6,No,No,Yes,TA federal,Yes,No,Yes,Undecided,Yes,Yes,Yes,Legacy ,"No schools even with great ACFT scores and fast promotions with being recognized for hard work. Schools as in air assault, mountain warfare, etc.... even after asking",I'm not right now because I don't feel as if I truly growing. ,"More open with when schools are, open it up and ask everyone when and who wants what, work on reclass quicker for those soldiers who asked for it. More updates to them as well because most are in the dark with status, needs, and things of that nature. ",,,,,,,Yes,
5/7/2025 16:03:28,X58AA (183rd CAV),Greater than 3 years but less than 6,Yes,,Yes,"STAP, FTA. ",No,No,Yes,Yes,Yes,I am happy in my current MOS,Yes,N/A,"High rate of change over in company and platoon leadership resulting in constant organization changes for squads and platoons. Hard to train effectively or learn a role when constantly trying to establish new working relationships with new leaders and squadmates (while also, in most cases, in a new role within a squad). ",N/A,Allow soldiers more time to become proficient in a role in training and have the opportunity to develop the skills necessary to help train others in that role before moving them to a different position. ,,,,,,,Yes,
5/7/2025 21:17:17,X58AA (183rd CAV),Less than 3 years,Yes,No,No,N/A,No,No,Yes,Yes,I am happy at my current unit,I am happy in my current MOS,Yes,Being able to do the job and still be able to live a normal life.,N/A,I wish to continue developing as a soldier ,More training activities.,,,,,,,No,N/A
6/16/2025 11:34:18,PHMAA (111th FA BN),Greater than 12 years,No,Can I stay in the office?,Yes,State federal TA,No,No,No,No,No,I am happy in my current MOS,Yes,Stability ,Lack of accountability in Senior Leadership ,2030,Accountability ,,,,,,,Yes,
6/16/2025 11:34:23,PHMAA (111th FA BN),Greater than 6 years but less than 12,Yes,No,No,,Yes,Yes,Yes,Yes,No,Yes,Yes,To get away from home,Nothing,I extended already ,Effective communication and soldier care,,,,,,,Yes,
6/20/2025 11:16:36,PE1AA (229th Engineer),Less than 3 years,No,,No,,No,No,Yes,Undecided,I am happy at my current unit,Yes,Yes,Tuition benefit ,The effect of the guard on my everyday life,I want to have kids but don’t want to do that while in the guard,Make the lower enlisted feel more heard,,,,,,,No,
6/20/2025 11:23:16,ZGEAA (429th BN),Greater than 12 years,Yes,,Yes,GI Bill,No,No,Yes,Yes,Yes,Yes,Yes,College money,Nothing,Going warrant,Nothing,,,,,,,Yes,
6/20/2025 11:25:03,PHMAA (111th FA BN),Greater than 6 years but less than 12,No,No,No,,No,No,Yes,No,No,Yes,Yes,Country,Unpredictable timelines and unrealistic expectations and Muta 6+,I don’t have enough time with my family,Not having extended ATs and Muta 6+,,,,,,,Yes,
6/20/2025 11:25:35,PHMAA (111th FA BN),Greater than 12 years,Yes,N/A,No,,No,Yes,Yes,Yes,Yes,I am happy in my current MOS,Yes,To serve and earn some extra money,"Increased OPTEMPO, increased number of MUTA 8 drills",I am going to reenlist because I am less than 5 years from myb20,Ensure that recruited soldiers are intelligent and motivated,,,,,,,Yes,
6/20/2025 11:25:51,PHPAA (1-116th INF BN),Greater than 3 years but less than 6,Yes,None,Yes,GI bill,No,No,Yes,No,No,No,Yes,College ,None,None,Stop getting smoked,,,,,,,No,
6/20/2025 11:26:12,PHMAA (111th FA BN),Greater than 12 years,Yes,No,Yes,Post 9/11 GI Bill,No,No,Yes,Undecided,Yes,Yes,Yes,Benefits ,Disorganization of the VA ARNG compared to other states,Extended to finish out for retirement ,"Better food in garrison/home station, better planning at higher echelons to minimize last minute changes to unit training ",,,,,,,Yes,
6/20/2025 11:26:51,PHPAA (1-116th INF BN),Greater than 12 years,Yes,,No,,No,No,Yes,Yes,I am happy at my current unit,I am happy in my current MOS,Yes,Peer Pressure,Nothing,Happy with my unit,MWR days during Annual Training ,,,,,,,Yes,
6/20/2025 11:29:35,PHPAA (1-116th INF BN),Greater than 12 years,Yes,NA,Yes,gI bill,Yes,Yes,No,Undecided,Yes,I am happy in my current MOS,No,Education ,Poor leadership and pay issues ,See above ,Proper rest cycle and leadership actually implementing soldiers care ,,,,,,,Yes,"Over worked, with very poor rest cycle in the field "
6/20/2025 11:29:47,PHPAA (1-116th INF BN),Greater than 3 years but less than 6,Yes,"Yes, where/when?  Hoping its a combat deployment, will likely not extend for deployment if it is poland or a similar training rotation.",Yes,State guard tuition assistance ,No,Yes,Yes,Undecided,I am happy at my current unit,I am happy in my current MOS,Yes,"Education, wanting to do something more w life","Cooks, the food, (the new platoon sized mre meals cooks serve us are aweful, not enough food etc). We used to have steak and burgers and cooked food.","After years of asking, school slots finally coming down, excited about career for first time in a while.  Down time at drilll where in limbo is not good for morale or readiness… sports teams get more done in 2 hour practice than we do in 50 hr drill.  Focus on good reps amd motivated training.","Food, make the cooks do their job.  Alot of guys have trouble w civilian careers due to drill that makes it unreasonable to stay in.",,,,,,,Yes,
6/20/2025 12:04:09,8BJAA (JFHQ),Greater than 12 years,Yes,None,Yes,Gi bill,No,No,Yes,Yes,Yes,Yes,Yes,Active to Guard bonus,Promotion opportunity ,I am interested in staying,None,,,,,,,Yes,
6/20/2025 12:09:32,PHMAA (111th FA BN),Greater than 3 years but less than 6,Yes,What’s the timeline looking like for deployment and when do we get our orders?,Yes,Federal TA,No,No,Yes,Yes,I am happy at my current unit,Yes,Yes,Education benefits ,Soldiers who don’t listen to rules and regulation get awarded while soldiers who do listen do not get recognition ,Re-enlisting due to comrades ,Solider first instead of mission first mentality,,,,,,,No,
6/20/2025 12:12:20,PHPAA (1-116th INF BN),Greater than 3 years but less than 6,No,No,No,,No,Yes,Yes,No,No,No,Yes,18x,I failed selection ,Can’t ,No,,,,,,,Yes,
6/20/2025 12:22:07,ZGEAA (429th BN),Greater than 6 years but less than 12,Yes,No,No,,No,Yes,No,Undecided,Yes,No,No,Family ,Leadership ,Just not ,Company leadership ,,,,,,,No,
6/20/2025 12:28:10,PHMAA (111th FA BN),Greater than 3 years but less than 6,No,,No,,No,Yes,No,Undecided,No,Yes,No,I’ve always wanted to join the military ,Not getting paid for over 7-8 months,Undecided ,More/better MWR days,,,,,,,No,
6/20/2025 12:29:39,PHMAA (111th FA BN),Less than 3 years,No,No,No,,No,No,Yes,Undecided,I am happy at my current unit,I am happy in my current MOS,Yes,Control over where I live/work life balance ,N/A,N/A,"Better planning, better soldier care…better food, facilities, resources ",,,,,,,Yes,
6/20/2025 12:31:09,XA3AA (1-116th 3rd BN),Greater than 6 years but less than 12,Yes,No ,Yes,TA,No,No,Yes,Yes,I am happy at my current unit,I am happy in my current MOS,Yes,Patriotism ,Do not wish to answer. (Not applicable to my current unit),"Sense of purpose, belonging. Family and experiences. I love taking care of Soldiers.",St Lo is amazing ,,,,,,,Yes,N/A
6/20/2025 12:33:51,X6TAA (329th HHC),Greater than 3 years but less than 6,Yes,,No,,No,No,Yes,Undecided,No,Yes,Yes,School,Nothing,Idk,None,,,,,,,No,
6/20/2025 12:34:20,PHPAA (1-116th INF BN),Greater than 6 years but less than 12,Yes,,No,,No,No,Yes,Undecided,I am happy at my current unit,I am happy in my current MOS,Yes,Hooah,"Poor soldier care, money, promotion ",Don’t see anything changing retention pretends to care but doesn’t actually follow thru,"Doing cool things instead of the same train for 12 months, schools and etc",,,,,,,Yes,
6/20/2025 12:34:38,PHPAA (1-116th INF BN),Less than 3 years,Yes,,Yes,Federal ta and state ta and yes ,No,Yes,No,Undecided,Yes,Yes,No,Education and wanting to be better than myslef,Unit leadership ,Unit leadership expresses toxicity and possible EO violation ,Change leadership and actually care about your  soldiers,,,,,,,No,EO violations and favoritism 
6/20/2025 12:35:46,PHMAA (111th FA BN),Less than 3 years,No,N/a,No,N/a,No,No,Yes,Undecided,I am happy at my current unit,I am happy in my current MOS,Yes,To become a better medical professional while serving others,Not enough medical related training,Uncertain of future plans,More time training on relevant topics to our MOS,,,,,,,No,N/a
6/20/2025 12:37:04,PHPAA (1-116th INF BN),Less than 3 years,No,,No,,No,Yes,Yes,No,Yes,Yes,Yes,My recruiter was very convincing,Deploying to combat,My family life would be a lot harder if I extended as well as my work life would be impacted because I wouldn’t be able to get promoted at my job. ,Have more events for the soldiers because soldier care is at the heart of the Army and our soldiers matter the most. ,,,,,,,No,
6/20/2025 12:38:22,PE1AA (229th Engineer),Greater than 6 years but less than 12,Yes,No,No,,Yes,Yes,Yes,Yes,I am happy at my current unit,I am happy in my current MOS,Yes,To serve ,No negatives have impacted me enough to not stay in,To continue serve ,Common fucking sense among leaders at high echelons ,,,,,,,Yes,
6/20/2025 12:39:01,PHPAA (1-116th INF BN),Greater than 3 years but less than 6,Yes,No,No,,No,No,No,Undecided,Yes,Yes,Yes,National pride,Family,Family ,Not sure,,,,,,,No,
6/20/2025 12:39:30,PE1AA (229th Engineer),Greater than 3 years but less than 6,No,,Yes,Merchant Mariners licensing,No,Yes,No,Undecided,I am happy at my current unit,Yes,Yes,Serving my country,Lack of schools,Na,Na,,,,,,,No,
6/20/2025 12:42:46,XA3AA (1-116th 3rd BN),Greater than 6 years but less than 12,Yes,No,Yes,SLRP/MGIB,No,No,No,Undecided,Yes,Yes,Yes,Service,Leadership,I have 9 years might as well do more ,Not getting stuck by lightning and sleeping outside in it,,,,,,,Yes,
6/20/2025 12:45:19,XA3AA (1-116th 3rd BN),Greater than 6 years but less than 12,Yes,No,No,,No,No,Yes,Undecided,I am happy at my current unit,Yes,Yes,Needed money,Better civilian job,Better opportunity outside military,N/A,,,,,,,No,
6/20/2025 12:45:26,X3YF3 (1030th BN),Greater than 12 years,Yes,Nope,Yes,Federal/State TA,No,No,Yes,Yes,I am happy at my current unit,I am happy in my current MOS,Yes,Service to my country ,"Promotion mix ups; promised benefits that didn’t get fulfilled, discrimination ",Job security,Follow through on benefits; make schools more accessible; don’t make recruiting a unit responsibility,,,,,,,Yes,
6/20/2025 12:46:49,PHPAA (1-116th INF BN),Less than 3 years,Yes,Will I be able to complete my masters degree overseas?,Yes,"State TA, and Montgomery gi bill",No,Yes,Yes,Undecided,No,No,No,Needed a restart in life,"Toxic environment, cliquey",I’m not interested in going into detail. ,Should probably stop constantly changing plans and should’ve pre planned missions months ahead of time instead of just continuously changing plans and messing up rest plans,,,,,,,No,There’s nothing I need to say. 
6/20/2025 12:48:38,PE1AA (229th Engineer),Less than 3 years,Yes,N/A,Yes,It takes a while to get the benefits.,Yes,No,Yes,Yes,Yes,I am happy in my current MOS,Yes,Education help,N/A,I love the military so I would re-enlist,Making sure everyone is satisfied and get any help they need,,,,,,,No,N/A
6/20/2025 12:48:49,ZGEAA (429th BN),Greater than 12 years,Yes,No,No,,No,No,No,No,Yes,No,Yes,The Marines did not provide a medical field and I did not like the navy uniforms,My actual real life career as a police officer because I am a K9 handler and public safety EOD tech,The time away from my actual career puts others at risk and strains resources from surrounding jurisdictions when I am missing ,Actually listen to soldiers and take their actual actual career in consideration. ,,,,,,,No,
